------------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------
 src/app/setup/step5          |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-193                                                                      
 src/app/test                 |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-91                                                                       
 src/components               |   12.65 |    14.01 |   13.88 |   12.88 |                                                                            
  AdminMenu.tsx               |       0 |      100 |       0 |       0 | 3-21                                                                       
  AuthGuard.tsx               |     100 |       88 |     100 |     100 | 15,31,33                                                                   
  Footer.tsx                  |     100 |      100 |     100 |     100 |                                                                            
  GoogleAuthButton.tsx        |       0 |        0 |       0 |       0 | 3-55                                                                       
  GoogleSettingsButton.tsx    |       0 |        0 |       0 |       0 | 3-66                                                                       
  MusicCard.tsx               |     100 |      100 |     100 |     100 |                                                                            
  NavMenuItem.tsx             |       0 |      100 |       0 |       0 | 1-10                                                                       
  Navbar.tsx                  |       0 |        0 |       0 |       0 | 3-264                                                                      
  SetupNotification.tsx       |       0 |        0 |       0 |       0 | 3-23                                                                       
  SetupRedirect.tsx           |       0 |        0 |       0 |       0 | 3-140                                                                      
  TermsModal.tsx              |       0 |        0 |       0 |       0 | 3-19                                                                       
 src/components/modals        |       0 |        0 |       0 |       0 |                                                                            
  Disable2FA.tsx              |       0 |        0 |       0 |       0 | 3-25                                                                       
  Manage2FA.tsx               |       0 |        0 |       0 |       0 | 3-139                                                                      
  ResetPasswordModal.tsx      |       0 |        0 |       0 |       0 | 3-209                                                                      
  Setup2FA.tsx                |       0 |        0 |       0 |       0 | 3-263                                                                      
  TwoFAVerificationModal.tsx  |       0 |        0 |       0 |       0 | 3-116                                                                      
  TwoFactorModal.tsx          |       0 |        0 |       0 |       0 | 3-29                                                                       
 src/components/setup         |       0 |        0 |       0 |       0 |                                                                            
  SetupButton.tsx             |       0 |        0 |       0 |       0 | 13-22                                                                      
  SetupHeader.tsx             |       0 |      100 |       0 |       0 | 8                                                                          
  SetupLayout.tsx             |       0 |        0 |       0 |       0 | 10-11                                                                      
  SetupNavigation.tsx         |       0 |        0 |       0 |       0 | 3-10                                                                       
  SkipSetupButton.tsx         |       0 |        0 |       0 |       0 | 3-53                                                                       
 src/services                 |   37.31 |    30.24 |   43.63 |   36.92 |                                                                            
  api.ts                      |      74 |    57.77 |   81.81 |   74.46 | 37,62-80,92-93,154,178-179                                                 
  authService.ts              |   36.15 |    35.51 |      48 |   35.65 | 84-100,113-115,120-128,136,153,181-202,208,212-214,224-234,244-265,275-391 
  healthService.ts            |       0 |        0 |       0 |       0 | 1-32                                                                       
  setupService.ts             |       0 |        0 |       0 |       0 | 1-81                                                                       
  twoFactorService.ts         |       0 |        0 |       0 |       0 | 1-144                                                                      
  userService.ts              |   88.88 |    68.75 |     100 |   88.23 | 58,72                                                                      
 src/songs                    |       0 |      100 |       0 |       0 |                                                                            
  fetchRecommendedAlbums.ts   |       0 |      100 |       0 |       0 | 3-6                                                                        
 src/utils                    |   39.28 |    48.14 |   42.85 |    35.6 |                                                                            
  countryUtils.ts             |       0 |        0 |       0 |       0 | 2-227                                                                      
  passwordValidation.ts       |   89.18 |    76.47 |     100 |   88.67 | 56-57,59,68-69,71                                                          
  setupAuth.ts                |       0 |        0 |       0 |       0 | 1-46                                                                       
------------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------
